1.1.a.1: Survey Date,Region P-CODE,Zone P-CODE,Woreda P-CODE,1.4.a.1: Site Open Date,1.5.e.1: Displacement Reason,1.5.b.1: Region (Largest IDP group) ,1.5.b.2: Zone (Largest IDP group),1.5.b.3: Woreda (Largest IDP group),1.5.c.1: Region (2nd largest IDP group),1.5.c.2: Zone (2nd largest IDP group),1.5.c.3: Woreda (2nd largest IDP group),2.1.a.1: Total HHs,2.1.b.1: Total Individuals,2.3.c.1: Date of arrival of first IDP group,2.3.c.2: Is date known for arrival of last IDP group,2.3.c.2: Date of arrival of last IDP group,2.3.b.4: Have IDPs been displaced previously?,2.3.j.1: IDPs leaving place of displacement?,2.3.e.7: Are there factors which are preventing the largest IDP group from returning?,2.3.e.7: Accessibility,2.3.e.7: Lack of food,2.3.e.7: House damaged/destroyed,2.3.e.7: Lack of safety/security,2.3.e.7: No livelihood,2.3.e.7: Basic infrastructures damaged/flooded,2.3.l.1: What durable solution do majority of IDPs perfer at the site?,2.3.l.2: What support do majority of the IDPs need to return or locally reintegrate?,2.3.l.2: Livelihood,2.3.l.2: Land/Resources,2.3.l.2: ID/Documentation,2.3.l.2: Access to services,2.3.l.2: Safety & Security,2.3.l.2: Livestock/Restocking
13 November 2017,ET02,ET0202,ET020205,12-06-2016,Drought,ET02,ET0202,ET020205,,,,62,374,12-06-2016,Yes,25-03-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
14 November 2017,ET02,ET0202,ET020202,02-06-2016,Flash Flood,ET02,ET0202,ET020202,,,,76,419,02-06-2016,Yes,12-03-2017,No,No,accessibility lack of food no livelihood basic infrastructures damage,Yes,Yes,No,No,Yes,Yes,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
15 November 2017,ET02,ET0202,ET020202,08-06-2016,Drought,ET02,ET0202,ET020202,,,,84,504,08-06-2016,Yes,13-06-2016,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
20 November 2017,ET02,ET0202,ET020207,02-03-2015,Drought,ET02,ET0202,ET020207,,,,207,1242,02-03-2015,Yes,07-03-2015,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
20 November 2017,ET02,ET0202,ET020207,21-02-2015,Drought,ET02,ET0202,ET020207,,,,79,473,21-02-2015,Yes,05-06-2016,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,Livelihood,Yes,No,No,No,No,No
04 November 2017,ET02,ET0203,ET020301,11-01-2016,Flash Flood,ET02,ET0203,ET020301,,,,74,446,11-01-2016,Yes,20-01-2016,Yes,No,lack of food house damaged destroyed no livelihood basic infrastructures damage,No,Yes,Yes,No,Yes,Yes,Reintegration,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
13 November 2017,ET02,ET0203,ET020301,12-09-2015,Flash Flood,ET02,ET0203,ET020301,,,,271,1628,12-09-2015,Yes,21-09-2015,Yes,No,house damaged destroyed no livelihood basic infrastructures damage,No,No,Yes,No,Yes,Yes,Reintegration,livelihood land resources id documentation access services livestock restocking,Yes,Yes,Yes,Yes,No,Yes
13 November 2017,ET02,ET0203,ET020301,10-10-2015,Flash Flood,ET02,ET0203,ET020301,,,,160,960,10-10-2015,Yes,03-06-2016,No,No,lack of food no livelihood basic infrastructures damage,No,Yes,No,No,Yes,Yes,Reintegration,livelihood land resources id documentation safety and security,Yes,Yes,Yes,No,Yes,No
13 November 2017,ET02,ET0204,ET020405,20-11-2016,Seasonal Flood,ET02,ET0204,ET020405,Afar,Fenti (Zone 4),Gulina,250,1499,20-11-2016,Yes,20-11-2016,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
22 November 2017,ET02,ET0204,ET020403,15-02-2016,Drought,ET02,ET0204,ET020403,,,,180,1079,15-02-2016,Yes,12-09-2017,No,Yes,,,,,,,,Return,livelihood livestock restocking,Yes,No,No,No,No,Yes
23 November 2017,ET02,ET0205,ET020505,15-08-2014,Drought,ET02,ET0205,ET020505,,,,70,420,15-08-2014,Yes,15-08-2014,No,Yes,,,,,,,,Return,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
23 November 2017,ET02,ET0205,ET020505,18-05-2014,Drought,ET02,ET0205,ET020505,Afar,Hari (Zone 5),Hadelela,146,876,18-05-2014,Yes,05-09-2015,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
26 November 2017,ET02,ET0205,ET020504,05-09-2010,Conflict,ET03,ET04,ET031004,,,,66,398,05-09-2010,Yes,26-05-2017,No,No,Lack of safety/security,No,No,No,Yes,No,No,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
25 November 2017,ET02,ET0205,ET020504,05-10-2016,Drought,ET02,ET0205,ET020504,,,,100,601,05-10-2016,Yes,05-10-2016,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
11 November 2017,ET02,ET0203,ET020307,17-03-2016,Drought,ET02,ET0203,ET050199,,,,150,900,17-03-2016,Yes,20-09-2016,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood land resources id documentation,Yes,Yes,Yes,No,No,No
10 November 2017,ET02,ET0203,ET020303,25-08-2015,Flash Flood,ET02,ET0203,ET020303,,,,600,3601,25-08-2015,Yes,03-09-2015,No,No,lack of food no livelihood basic infrastructures damage,No,Yes,No,No,Yes,Yes,Reintegration,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
10 November 2017,ET02,ET0201,ET020101,13-01-2015,Seasonal Flood,ET02,ET0201,ET020101,,,,300,1800,13-01-2015,Yes,14-01-2015,No,No,accessibility lack of food house damaged destroyed no livelihood basic infrastructures damage,Yes,Yes,Yes,No,Yes,Yes,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
16 November 2017,ET02,ET0202,ET020204,15-02-2016,Drought,ET02,ET0202,ET020204,,,,115,690,15-02-2016,Yes,05-03-2017,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
17 November 2017,ET02,ET0202,ET020204,28-02-2017,Conflict,ET02,ET0202,ET020204,,,,150,902,28-02-2017,Yes,02-03-2017,No,Yes,,,,,,,,Return,Safety and Security,No,No,No,No,Yes,No
08 November 2017,ET02,ET0202,ET020206,16-04-2016,Flash Flood,ET02,ET0202,ET020206,,,,70,423,16-04-2016,Yes,28-04-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
09 November 2017,ET02,ET0202,ET020206,31-03-2016,Flash Flood,ET02,ET0202,ET020206,,,,61,365,31-03-2016,Yes,05-04-2016,No,No,lack of food house damaged destroyed,No,Yes,Yes,No,No,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
10 November 2017,ET02,ET0203,ET020303,05-08-2016,Drought,ET02,ET0203,ET020303,Afar,Gabi (Zone 3),Gewane,400,2399,05-08-2016,Yes,04-09-2016,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
14 November 2017,ET02,ET0203,ET020306,10-01-2012,Drought,ET02,ET0203,ET030401,Afar,Gabi (Zone 3),Argoba Special,400,2400,10-01-2012,Yes,01-04-2017,Yes,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
07 November 2017,ET02,ET0201,ET020102,18-05-2015,Drought,ET02,ET0201,ET020102,,,,116,697,18-05-2015,Yes,28-05-2015,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
07 November 2017,ET02,ET0201,ET020102,20-05-2015,Drought,ET02,ET0201,ET020102,,,,150,899,20-05-2015,Yes,20-05-2015,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
23 November 2017,ET02,ET0205,ET020503,15-05-2010,Conflict,ET03,ET04,ET031005,,,,180,1080,15-05-2010,Yes,15-05-2010,No,No,accessibility lack of food lack of security safety,Yes,Yes,No,Yes,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
07 November 2017,ET02,ET0203,ET020304,14-07-2016,Flash Flood,ET02,ET0203,ET020304,Afar,Gabi (Zone 3),Dulecha,150,898,14-07-2016,Yes,21-07-2016,No,No,lack of food no livelihood basic infrastructures damage,No,Yes,No,No,Yes,Yes,Reintegration,livelihood land resources id documentation access services livestock restocking,Yes,Yes,Yes,Yes,No,Yes
18 November 2017,ET02,ET0202,ET020201,16-03-2016,Drought,ET02,ET0202,ET020201,,,,45,270,16-03-2016,Yes,21-03-2017,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
09 November 2017,ET02,ET0202,ET020206,29-03-2016,Flash Flood,ET02,ET0202,ET020206,,,,55,329,29-03-2016,Yes,02-04-2016,No,No,accessibility house damaged destroyed,Yes,No,Yes,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
11 November 2017,ET02,ET0202,ET020206,14-06-2016,Flash Flood,ET02,ET0202,ET020206,,,,79,473,14-06-2016,Yes,20-06-2016,No,No,accessibility house damaged destroyed,Yes,No,Yes,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
11 November 2017,ET02,ET0203,ET020307,13-02-2016,Drought,ET02,ET0203,ET050199,,,,300,1801,13-02-2016,Yes,15-03-2016,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Return,livelihood land resources,Yes,Yes,No,No,No,No
10 November 2017,ET02,ET0203,ET020303,28-04-2016,Flash Flood,ET02,ET0203,ET020303,,,,200,1201,28-04-2016,Yes,10-05-2016,No,Yes,,,,,,,,Return,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
22 November 2017,ET02,ET0205,ET020502,10-05-2014,Conflict,ET02,ET0205,ET020502,,,,54,323,10-05-2014,Yes,10-05-2014,No,No,Lack of safety/security,No,No,No,Yes,No,No,Return,Land/Resources,No,Yes,No,No,No,No
23 November 2017,ET02,ET0205,ET020505,28-08-2014,Drought,ET02,ET0205,ET020505,Afar,Hari (Zone 5),Hadelela,80,480,28-08-2014,Yes,28-08-2014,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood land resources id documentation livestock restocking,Yes,Yes,Yes,No,No,Yes
14 November 2017,ET02,ET0203,ET020304,06-09-2017,Drought,ET02,ET0203,ET020304,,,,250,1500,09-06-2017,Yes,27-06-2017,Yes,Yes,,,,,,,,Return,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
14 November 2017,ET02,ET0204,ET020402,04-07-2017,Other,ET02,ET0204,ET020402,Afar,Fenti (Zone 4),Ewa,317,1902,04-07-2017,Yes,06-07-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
14 November 2017,ET02,ET0204,ET020402,04-01-2017,Other,ET02,ET0204,ET020402,,,,49,295,04-01-2017,Yes,14-07-2017,No,No,accessibility lack of food house damaged destroyed no livelihood,Yes,Yes,Yes,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
14 November 2017,ET02,ET0204,ET020402,04-07-2017,Other,ET02,ET0204,ET020402,,,,62,372,04-07-2017,Yes,04-07-2017,No,No,accessibility lack of food house damaged destroyed no livelihood,Yes,Yes,Yes,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
21 November 2017,ET02,ET0204,ET020404,06-08-2017,Other,ET02,ET0204,ET020404,,,,40,242,06-08-2017,Yes,06-08-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
22 November 2017,ET02,ET0204,ET020403,10-09-2017,Seasonal Flood,ET02,ET0204,ET020403,Afar,Fenti (Zone 4),Teru,150,901,10-09-2017,Yes,16-09-2017,No,Yes,,,,,,,,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
17 November 2017,ET02,ET0201,ET0201011,28-09-2017,Drought,ET02,ET0201,ET041007,,,,30,170,28-09-2017,Yes,05-10-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
22 November 2017,ET02,ET0205,ET020501,08-08-2017,Other,ET02,ET0205,ET020501,,,,41,245,08-08-2017,Yes,10-08-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,Livestock/Restocking,No,No,No,No,No,Yes
12 November 2017,ET03,ET0310,ET031006,28-04-2016,Seasonal Flood,ET03,ET04,ET060309,,,,148,865,28-04-2016,Yes,04-05-2016,Yes,No,house damaged destroyed nothing,No,No,Yes,No,No,No,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
09 November 2017,ET03,ET0310,ET031005,15-01-2001,Conflict,ET03,ET04,ET031004,,,,33,164,15-01-2001,Yes,25-05-2012,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
13 November 2017,ET03,ET0310,ET031005,15-01-2004,Conflict,ET02,ET0205,ET020504,Amhara,Oromia,Bati,52,300,15-01-2004,Yes,04-02-2010,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
10 November 2017,ET03,ET0310,ET031005,15-02-1992,Conflict,ET03,ET04,ET031004,,,,35,225,15-02-1992,Yes,15-06-2004,No,No,accessibility lack of food lack of security safety,Yes,Yes,No,Yes,No,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
20 November 2017,ET03,ET0301,ET030113,17-12-2015,Conflict,ET03,ET0301,ET031106,,,,200,1002,17-12-2015,Yes,08-01-2016,No,No,accessibility lack of food house damaged destroyed lack of security safety,Yes,Yes,Yes,Yes,No,No,Reintegration,livelihood safety and security livestock restocking,Yes,No,No,No,Yes,Yes
21 November 2017,ET03,ET0301,ET030113,16-12-2015,Conflict,ET03,ET0301,ET031213,Amhara,North Gonder,Metema,24,120,16-12-2015,Yes,27-02-2016,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
15 November 2017,ET03,ET0310,ET031002,22-04-2017,Conflict,ET03,ET04,ET031002,,,,51,299,22-04-2017,Yes,23-04-2017,No,No,lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,No,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood livestock restocking,Yes,No,No,No,No,Yes
25 November 2017,ET03,ET0308,ET030803,13-07-2017,Landslide,ET03,ET0308,ET030803,Amhara,Wag Himra,Dehana,35,175,13-07-2017,Yes,13-07-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Relocation,,,,,,,
23 November 2017,ET03,ET0307,ET030705,28-09-2009,Conflict,ET03,ET0301,ET040408,Amhara,North Gonder,Quara,77,384,28-09-2009,Yes,08-11-2011,No,No,Unknown,No,No,No,No,No,No,Relocation,,,,,,,
10 November 2017,ET03,ET0301,ET030125,11-12-2015,Conflict,ET03,ET0301,ET031106,Amhara,North Gonder,Metema,500,2499,11-12-2015,Yes,24-06-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
10 November 2017,ET03,ET0301,ET030125,11-12-2015,Conflict,ET03,ET0301,ET031106,Amhara,North Gonder,Metema,600,3000,11-12-2015,Yes,24-06-2017,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood,Yes,Yes,Yes,Yes,Yes,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
09 November 2017,ET03,ET0301,ET030112,15-12-2015,Conflict,ET03,ET0301,ET031213,Amhara,North Gonder,Chilga,25,125,15-12-2015,Yes,07-03-2016,No,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
18 November 2017,ET03,ET0304,ET030407,03-07-2017,Landslide,ET03,ET0304,ET030407,,,,40,178,03-07-2017,Yes,03-07-2017,No,No,house damaged destroyed basic infrastructures damage,No,No,Yes,No,No,Yes,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
11 November 2017,ET03,ET0310,ET031001,10-08-2017,Seasonal Flood,ET03,ET04,ET031004,,,,42,229,10-08-2017,Yes,10-08-2017,Yes,No,lack of food no livelihood basic infrastructures damage,No,Yes,No,No,Yes,Yes,Relocation,,,,,,,
25 November 2017,ET03,ET0305,ET030501,12-08-2017,Landslide,ET03,ET0406,ET030501,,,,49,266,12-08-2017,Yes,13-08-2017,Yes,No,house damaged destroyed no livelihood,No,No,Yes,No,Yes,No,Relocation,,,,,,,
20 November 2017,ET03,ET0303,ET030312,04-08-2017,Other,ET03,ET0303,ET030312,Amhara,North Wollo,Gazo,24,118,04-08-2017,Yes,04-08-2017,No,No,accessibility lack of food house damaged destroyed,Yes,Yes,Yes,No,No,No,Return,land resources access services safety and security,No,Yes,No,Yes,Yes,No
25 November 2017,ET03,ET0306,ET030611,25-10-2014,Landslide,ET03,ET0306,ET030611,,,,78,391,25-10-2014,No,,No,No,Unknown,No,No,No,No,No,No,Relocation,,,,,,,
26 November 2017,ET03,ET0304,ET030419,15-11-2001,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,30,82,15-11-2001,Yes,11-09-2017,No,No,lack of food no livelihood basic infrastructures damage,No,Yes,No,No,Yes,Yes,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
24 November 2017,ET03,ET0304,ET030419,12-10-2008,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,27,60,12-10-2008,Yes,21-09-2017,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
25 November 2017,ET03,ET0304,ET030419,04-08-2009,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,109,385,04-08-2009,Yes,11-02-2017,No,No,accessibility lack of food house damaged destroyed no livelihood,Yes,Yes,Yes,No,Yes,No,Reintegration,livelihood land resources,Yes,Yes,No,No,No,No
23 November 2017,ET03,ET0304,ET030419,17-07-2005,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,51,250,17-07-2005,Yes,11-02-2017,No,No,lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,No,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood land resources livestock restocking,Yes,Yes,No,No,No,Yes
24 November 2017,ET03,ET0304,ET030419,17-07-2005,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,153,452,17-07-2005,Yes,11-02-2017,Unknown,No,lack of food house damaged destroyed no livelihood,No,Yes,Yes,No,Yes,No,Reintegration,livelihood land resources access services,Yes,Yes,No,Yes,No,No
04 November 2017,ET15,ET1501,ET150102,14-09-2017,Conflict,ET05,ET0501,ET0504,Somali,Siti,Ayisha,1428,4666,14-09-2017,Yes,01-12-2017,No,No,house damaged destroyed lack of security safety,No,No,Yes,Yes,No,No,Relocation,,,,,,,
11 November 2017,ET12,ET1201,ET120104,20-02-2009,Conflict,ET12,ET1201,ET120101,,,,340,1700,20-02-2009,Yes,25-02-2009,No,No,accessibility house damaged destroyed lack of security safety basic infrastructures damage,Yes,No,Yes,Yes,No,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
10 November 2017,ET12,ET1201,ET120104,04-10-2017,Seasonal Flood,ET12,ET1201,ET120104,,,,83,415,04-10-2017,Yes,05-10-2017,Yes,No,accessibility house damaged destroyed lack of security safety,Yes,No,Yes,Yes,No,No,Return,access services safety and security,No,No,No,Yes,Yes,No
12 November 2017,ET12,ET1201,ET120104,24-02-2016,Conflict,ET12,ET1201,ET120104,,,,820,4100,24-02-2016,Yes,18-05-2016,Yes,No,accessibility house damaged destroyed lack of security safety,Yes,No,Yes,Yes,No,No,Reintegration,livelihood land resources access services safety and security livestock restocking,Yes,Yes,No,Yes,Yes,Yes
21 November 2017,ET12,ET1205,ET120501,19-01-2016,Conflict,ET12,ET1204,ET120407,,,,98,490,19-01-2016,Yes,21-01-2016,No,No,house damaged destroyed lack of security safety no livelihood,No,No,Yes,Yes,Yes,No,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
11 November 2017,ET12,ET1202,ET120203,09-04-2016,Conflict,ET12,ET1202,ET120203,,,,92,460,09-04-2016,Yes,16-09-2016,No,No,accessibility lack of food lack of security safety no livelihood,Yes,Yes,No,Yes,Yes,No,Relocation,,,,,,,
12 November 2017,ET12,ET1202,ET120203,09-04-2016,Conflict,ET12,ET1202,ET120203,,,,140,700,09-04-2016,Yes,05-05-2016,No,No,accessibility lack of food lack of security safety no livelihood,Yes,Yes,No,Yes,Yes,No,Relocation,,,,,,,
01 December 2017,ET12,ET1202,ET120202,30-08-2017,Seasonal Flood,ET12,ET1202,ET120202,,,,37,185,30-08-2017,Yes,02-09-2017,Yes,No,house damaged destroyed basic infrastructures damage,No,No,Yes,No,No,Yes,Reintegration,livelihood land resources id documentation access services safety and security livestock restocking,Yes,Yes,Yes,Yes,Yes,Yes
11 November 2017,ET12,ET1202,ET120203,26-11-2017,Conflict,ET12,ET1202,ET120203,Gambella,,,188,940,26-11-2016,Yes,29-11-2016,No,No,accessibility lack of food lack of security safety no livelihood,Yes,Yes,No,Yes,Yes,No,Relocation,,,,,,,
