Survey_Date,Zone_P_CODE,Woreda_P_CODE,Site_Open_Date,Displacement_Reason,Origin_Region,Origin_Zone,Origin_Woreda,Second_Origin_Region,Second_Origin_Zone,Second_Origin_Woreda,Total_Households,Total_Individuals,First_Arrival_Date,Last_Arrival_Known,Last_Arrival_Date,Previously_Displaced,Currently_Leaving,Has_Prevention_Factors,Prevention_Accessibility,Prevention_Food,Prevention_Housing,Prevention_Security,Prevention_Livelihood,Prevention_Infrastructure,Support_Needs,Need_Livelihood,Need_Land,Need_Documentation,Need_Services,Need_Security,Need_Livestock,Displacement_Month,Has_Different_Second_Origin,Displacement_Duration,Origin_Location,Current_Location,Total_Prevention_Factors,Total_Support_Needs,Is_Winter_Migration,Region_Change,Prevention_Factor_Ratio,Support_Need_Ratio,Displacement_Season_Fall,Displacement_Season_Spring,Displacement_Season_Summer,Displacement_Season_Winter,Preferred_Solution_Reintegration,Preferred_Solution_Relocation,Preferred_Solution_Return,Region_P_CODE_ET02,Region_P_CODE_ET03,Region_P_CODE_ET04,Region_P_CODE_ET05,Household_Size_Category_Very Small,Household_Size_Category_Small,Household_Size_Category_Medium,Household_Size_Category_Large,Household_Size_Category_Very Large,year,month,household_size,fdi_pct_gdp,gdp_usd,gdp_per_capita_usd,remittances_pct_gdp,trade_pct_gdp,adult_literacy_rate,youth_literacy_rate,primary_enrollment,secondary_enrollment,regional_weight
2017-11-23,ET0205,ET020505,2014-08-15,Drought,ET02,ET0205,ET020505,Somali,Fafan,Tog-Wajale,70,420,2014-08-15,0.1386750490563072,2014-08-15,-0.1647172818672541,4.402796314232056,No,-0.8037180680557422,0.2271283812897488,0.9665953493282832,2.85270591447537,0.3008903112828133,-0.277913246099792,livelihood id documentation livestock restocking,0.1237968921180345,-1.9318754766140744,1.7721808598447284,-1.848422751068236,-0.3298281535567591,0.3771490147280578,8,0.0,0.0,ET02_ET0205_ET020505,ET02_ET0205_ET020505,1.075437140477841,-0.8077028200332839,-0.7722600223814998,0.0,1.0754371404778398,-0.8077028200332839,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-23,ET0205,ET020505,2014-05-18,Drought,ET02,ET0205,ET020505,Afar,Hari (Zone 5),Hadelela,146,876,2014-05-18,0.1386750490563072,2015-05-09,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,5,0.0,356.0,ET02_ET0205_ET020505,ET02_ET0205_ET020505,-0.9897138901498964,-0.8077028200332839,-0.7722600223814998,0.0,-0.9897138901498972,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-25,ET0205,ET020504,2016-05-10,Drought,ET02,ET0205,ET020504,Somali,Fafan,Tog-Wajale,100,601,2016-05-10,0.1386750490563072,2016-05-10,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,5,0.0,0.0,ET02_ET0205_ET020504,ET02_ET0205_ET020504,-0.9897138901498964,-1.8673129552254637,-0.7722600223814998,0.0,-0.9897138901498972,-1.867312955225464,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.01,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-11,ET0203,ET020307,2016-03-17,Drought,ET02,ET0203,ET050199,Somali,Fafan,Tog-Wajale,150,900,2016-03-17,0.1386750490563072,2016-09-20,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources id documentation,0.1237968921180345,0.5176317066525747,1.7721808598447284,-1.848422751068236,-0.3298281535567591,-2.651471861118468,3,0.0,187.0,ET02_ET0203_ET050199,ET02_ET0203_ET020307,-0.9897138901498964,-0.8077028200332839,-0.7722600223814998,0.0,-0.9897138901498972,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-16,ET0202,ET020204,2016-02-15,Drought,ET02,ET0202,ET020204,Somali,Fafan,Tog-Wajale,115,690,2016-02-15,0.1386750490563072,2017-05-03,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,2,0.0,443.0,ET02_ET0202_ET020204,ET02_ET0202_ET020204,-0.9897138901498964,-1.8673129552254637,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-10,ET0203,ET020303,2016-05-08,Drought,ET02,ET0203,ET020303,Afar,Gabi (Zone 3),Gewane,400,2399,2016-05-08,0.1386750490563072,2016-04-09,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood id documentation livestock restocking,0.1237968921180345,-1.9318754766140744,1.7721808598447284,-1.848422751068236,-0.3298281535567591,0.3771490147280578,5,0.0,0.0,ET02_ET0203_ET020303,ET02_ET0203_ET020303,-0.9897138901498964,-0.8077028200332839,-0.7722600223814998,0.0,-0.9897138901498972,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,2017,11,5.9975,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-14,ET0203,ET020306,2012-10-01,Drought,ET02,ET0203,ET030401,Afar,Gabi (Zone 3),Argoba Special,400,2400,2012-10-01,0.1386750490563072,2017-01-04,6.071008388821651,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources access services livestock restocking,0.1237968921180345,0.5176317066525747,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,10,0.0,1556.0,ET02_ET0203_ET030401,ET02_ET0203_ET020306,-0.9897138901498964,0.2519073151588957,-0.7722600223814998,0.0,-0.9897138901498972,0.2519073151588955,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-07,ET0201,ET020102,2015-05-18,Drought,ET02,ET0201,ET020102,Somali,Fafan,Tog-Wajale,116,697,2015-05-18,0.1386750490563072,2015-05-28,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,5,0.0,10.0,ET02_ET0201_ET020102,ET02_ET0201_ET020102,0.0428616251639721,-0.8077028200332839,-0.7722600223814998,0.0,0.0428616251639715,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.008620689655173,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-07,ET0201,ET020102,2015-05-20,Drought,ET02,ET0201,ET020102,Somali,Fafan,Tog-Wajale,150,899,2015-05-20,0.1386750490563072,2015-05-20,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,5,0.0,0.0,ET02_ET0201_ET020102,ET02_ET0201_ET020102,0.0428616251639721,-0.8077028200332839,-0.7722600223814998,0.0,0.0428616251639715,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,5.993333333333333,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-18,ET0202,ET020201,2016-03-16,Drought,ET02,ET0202,ET020201,Somali,Fafan,Tog-Wajale,45,270,2016-03-16,0.1386750490563072,2017-03-21,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,3,0.0,370.0,ET02_ET0202_ET020201,ET02_ET0202_ET020201,-0.9897138901498964,-1.8673129552254637,-0.7722600223814998,0.0,-0.9897138901498972,-1.867312955225464,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-11,ET0203,ET020307,2016-02-13,Drought,ET02,ET0203,ET050199,Somali,Fafan,Tog-Wajale,300,1801,2016-02-13,0.1386750490563072,2016-03-15,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources,0.1237968921180345,0.5176317066525747,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,2,0.0,31.0,ET02_ET0203_ET050199,ET02_ET0203_ET020307,-0.9897138901498964,-1.8673129552254637,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,2017,11,6.003333333333333,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-23,ET0205,ET020505,2014-08-28,Drought,ET02,ET0205,ET020505,Afar,Hari (Zone 5),Hadelela,80,480,2014-08-28,0.1386750490563072,2014-08-28,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources id documentation livestock restocking,0.1237968921180345,0.5176317066525747,1.7721808598447284,-1.848422751068236,-0.3298281535567591,0.3771490147280578,8,0.0,0.0,ET02_ET0205_ET020505,ET02_ET0205_ET020505,-0.9897138901498964,0.2519073151588957,-0.7722600223814998,0.0,-0.9897138901498972,0.2519073151588955,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-14,ET0203,ET020304,2017-06-09,Drought,ET02,ET0203,ET020304,Somali,Fafan,Tog-Wajale,250,1500,2017-06-09,0.1386750490563072,2017-06-27,6.071008388821651,4.402796314232056,No,-0.8037180680557422,0.2271283812897488,0.9665953493282832,2.85270591447537,0.3008903112828133,-0.277913246099792,livelihood land resources livestock restocking,0.1237968921180345,0.5176317066525747,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,0.3771490147280578,6,0.0,18.0,ET02_ET0203_ET020304,ET02_ET0203_ET020304,1.075437140477841,-0.8077028200332839,-0.7722600223814998,0.0,1.0754371404778398,-0.8077028200332839,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-17,ET0201,ET0201011,2017-09-28,Drought,ET02,ET0201,ET041007,Somali,Fafan,Tog-Wajale,30,170,2017-09-28,0.1386750490563072,2017-05-10,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,9,0.0,0.0,ET02_ET0201_ET041007,ET02_ET0201_ET0201011,0.0428616251639721,-0.8077028200332839,-0.7722600223814998,0.0,0.0428616251639715,-0.8077028200332839,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,5.666666666666667,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-26,ET0304,ET030419,2001-11-15,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,30,82,2001-11-15,0.1386750490563072,2017-11-09,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood basic infrastructures damage,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,3.5982451863446765,livelihood land resources,0.1237968921180345,0.5176317066525747,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,11,0.0,5838.0,ET03_ET0304_ET030419,ET03_ET0304_ET030419,0.0428616251639721,-1.8673129552254637,-0.7722600223814998,0.0,0.0428616251639715,-1.867312955225464,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,2017,11,2.7333333333333334,5.1549255493100015,11679800110.0,572.9375256320001,13.220688589200002,84.17203389220002,48.06000000000001,63.19000000000001,18.866513637700002,2.9314908029900004,0.8900000000000001
2017-11-24,ET0304,ET030419,2008-12-10,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,27,60,2008-12-10,0.1386750490563072,2017-09-21,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources,0.1237968921180345,0.5176317066525747,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,12,0.0,3207.0,ET03_ET0304_ET030419,ET03_ET0304_ET030419,-0.9897138901498964,-1.8673129552254637,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,2017,11,2.2222222222222223,5.1549255493100015,11679800110.0,572.9375256320001,13.220688589200002,84.17203389220002,48.06000000000001,63.19000000000001,18.866513637700002,2.9314908029900004,0.8900000000000001
2017-11-25,ET0304,ET030419,2009-04-08,Drought,ET03,ET0304,ET030419,Amhara,South Wollo,Mehal Sayint,109,385,2009-04-08,0.1386750490563072,2017-11-02,-0.1647172818672541,-0.2271283812897489,accessibility lack of food house damaged destroyed no livelihood,1.2442173938170624,0.2271283812897488,0.9665953493282832,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood land resources,0.1237968921180345,0.5176317066525747,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,4,0.0,3130.0,ET03_ET0304_ET030419,ET03_ET0304_ET030419,1.075437140477841,-1.8673129552254637,-0.7722600223814998,0.0,1.0754371404778398,-1.867312955225464,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,2017,11,3.532110091743119,5.1549255493100015,11679800110.0,572.9375256320001,13.220688589200002,84.17203389220002,48.06000000000001,63.19000000000001,18.866513637700002,2.9314908029900004,0.8900000000000001
