Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Somalia,SOM,2017,"Labor force, total",SL.TLF.TOTL.IN,3163183
Somalia,SOM,2017,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,24.826
Somalia,SOM,2017,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,16.544
Somalia,SOM,2017,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.128
Somalia,SOM,2017,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,47.16447968
Somalia,SOM,2017,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.26551198
Somalia,SOM,2017,"Number of infant deaths, female",SH.DTH.IMRT.FE,22601
Somalia,SOM,2017,"Number of infant deaths, male",SH.DTH.IMRT.MA,27887
Somalia,SOM,2017,"Number of under-five deaths, female",SH.DTH.MORT.FE,35637
Somalia,SOM,2017,"Number of under-five deaths, male",SH.DTH.MORT.MA,41800
